total_homeless,total_population,house_price_index_2009,log_median_rent,utility_costs,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,share_renters_2016,rental_vacancy_rate,high_housing_density,number_eviction,share_overcrowded_units_2016,city_or_urban,suburban,rate_unemployment,gini_coefficient_2016,poverty_rate,share_HUD_units,HUD_unit_occupancy_rate,share_built_before_1940,net_migration,migration_4_year_change,proportion_one_person_households,share_under_18_with_single_parent,share_veteran_status,share_no_bachelors,medicare_reimbursements_per_enrollee,percentage_excessive_drinking,average_Jan_temperature,average_summer_temperature,total_Jan_precipitation,total_annual_precipitation,rate_homeless,percent_black,percent_latino_hispanic,percent_asian,percent_pacific_inslander,percent_population_0_19,percent_population_65_plus,percent_female_population
717.0,362241,-4.45038555266675,,,15.9215526580811,27.6074256896973,32.5686950683594,,0,896,0.932792127132416,0,1,6.82287645339966,46.0593147277832,12.0477800369263,4.92764282226563,95.9536819458008,,677,,,,,,9.21090622988563,,27.4663829803467,67.8919448852539,3.15483236312866,64.6120986938477,19.793452425319057,0.02251815780102197,0.04116872468881214,0.02891169138777775,0.00028710168092513,0.22983041676673815,0.15620539916795725,0.5230633749354712
678.0,362112,-6.08846659096858,1.95402157306671,11.8917207717896,15.9215526580811,27.6074256896973,32.5686950683594,4.86728429794312,0,887,0.932792127132416,0,1,6.39057397842407,46.0593147277832,12.1501083374023,4.87327194213867,95.7550582885742,34.7258682250977,124,,32.4319229125977,23.9637470245361,11.5378198623657,61.7805023193359,9.83044843888079,,24.4359283447266,68.5595932006836,2.1368522644043,40.893741607666,18.723488865323436,0.02307573347472605,0.042478570166136445,0.029673139802050195,0.0003010118416401555,0.22647689112760694,0.16365930982679391,0.5230260250972075
753.0,361386,-5.73967169229826,,,15.9215526580811,27.6074256896973,32.5686950683594,,0,785,0.932792127132416,0,1,6.55143404006958,46.0593147277832,11.8264131546021,5.71156024932861,95.0368270874023,,55,,,,,,9.36866576170632,,19.6467304229736,68.5345840454102,3.38209867477417,47.2858352661133,20.836446348225998,0.02351225559374187,0.04360711261642676,0.030922614600454916,0.00032375354883697763,0.22359194877499405,0.16977691443498089,0.523119323936179
781.0,360707,-5.22502677711344,2.04945755004883,10.7448177337646,15.9215526580811,27.6074256896973,32.5686950683594,4.50943374633789,0,723,0.932792127132416,0,1,5.71080589294434,46.0593147277832,12.5428676605225,4.84633779525757,91.7132949829102,33.3561248779297,-29,,31.777811050415,25.0078887939453,9.98843193054199,59.9770355224609,9.39693186176038,,18.1820030212402,66.9109573364258,4.02927446365356,50.1891326904297,21.65192247447374,0.02400840571433324,0.04501160221453978,0.03181529607132659,0.0003243629871336015,0.21970186328515942,0.17680832365326982,0.5232501725777432
653.0,359295,-4.66037063423941,,,15.9215526580811,27.6074256896973,32.5686950683594,,0,686,0.932792127132416,0,1,4.7835054397583,46.0593147277832,13.0550098419189,4.94123268127441,92.8538970947266,,-675,,,,,,9.6214620300032,,25.933687210083,67.1551208496094,1.6910719871521,42.4903793334961,18.17448058002477,0.024626003701693596,0.046535576615316106,0.03272241472884398,0.00035068676157475054,0.2166381385769354,0.1835845196843819,0.5234556562156445
557.0,359134,-2.73014442703071,2.04945755004883,10.7448177337646,15.9215526580811,27.6074256896973,32.5686950683594,4.50943374633789,0,545,0.932792127132416,0,1,3.90495800971985,46.0593147277832,10.2031555175781,4.81998491287231,93.2563323974609,33.3561248779297,586,0.128926739096642,31.777811050415,25.0078887939453,9.98843193054199,59.9770355224609,10.0556820132318,0.215902507305145,28.7531108856201,68.8648376464844,3.2786660194397,36.2456512451172,15.509531261311933,0.025458463971665173,0.048057271102151286,0.03375341794427707,0.0003452750226934793,0.21434060824093515,0.18985949534157168,0.523528822110967
1186.0,497264,0.0,,,19.1929168701172,26.4555931091309,24.0557022094727,,0,1398,1.20437633991241,0,1,8.47589302062988,44.4500007629395,7.47530460357666,3.87226986885071,96.0,,1428,,,,,,11.57214,,28.4400005340576,68.5166625976563,4.07999992370605,56.7099990844727,23.850509990668943,0.07143891373596319,0.03519056275941954,0.014461131310531226,0.0005047620579812735,0.2657079539238714,0.13412995913639436,0.5115994723124939
1468.0,495895,-3.33022479630903,2.24707245826721,14.1999998092651,19.1929168701172,26.4555931091309,24.0557022094727,6.20607042312622,0,1336,1.20437633991241,0,1,8.94666194915771,44.4500007629395,8.07872676849365,3.93218612670898,96.0,25.1061210632324,2356,,24.0966281890869,19.6540431976318,11.3568229675293,64.7926788330078,11.52851,,26.0100002288818,72.1566619873047,3.91000008583069,54.6199989318848,29.603040966333598,0.08474979582371268,0.03168009356819488,0.012869659907843395,0.0009437481724961938,0.2660401899595681,0.13978564010526423,0.5137418203450327
1424.0,498198,-6.18189849808579,,,19.1929168701172,26.4555931091309,24.0557022094727,,0,1517,1.20437633991241,0,1,7.77072525024414,44.4500007629395,8.31657314300537,4.55625486373901,97.0,,1406,,,,,,11.66487,,34.3600006103516,70.6699981689453,3.28999996185303,56.0699996948242,28.583013179498913,0.08727052296476501,0.03267576345147913,0.012980782740998559,0.0009534361840071618,0.2625542455007848,0.14315191951794268,0.5133200052990979
1690.0,499495,-7.77093354275057,2.24707245826721,14.1999998092651,19.1929168701172,26.4555931091309,24.0557022094727,6.20607042312622,0,1228,1.20437633991241,0,1,7.00436019897461,44.4500007629395,7.65673303604126,4.76907539367676,97.0,25.1061210632324,398,,24.0966281890869,19.6540431976318,11.3568229675293,64.7926788330078,11.5682,,31.1499996185303,70.9833297729492,1.92999994754791,45.5,33.834172514239384,0.0892561487101973,0.03364798446430895,0.013313446581046858,0.0009329422716944114,0.2577363136768136,0.15092843772209932,0.5132363687324197
