year,coc_number,total_homeless,total_sheltered,total_unsheltered,total_population,house_price_index_2009,log_median_rent,utility_costs,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,share_renters_2016,rental_vacancy_rate,high_housing_density,number_eviction,share_overcrowded_units_2016,city_or_urban,suburban,rate_unemployment,gini_coefficient_2016,poverty_rate,share_HUD_units,HUD_unit_occupancy_rate,share_built_before_1940,total_black,total_latino_hispanic,total_asian,total_pacific_islander,total_population_0_19,total_population_65_plus,total_female_population,net_migration,migration_4_year_change,proportion_one_person_households,share_under_18_with_single_parent,share_veteran_status,share_no_bachelors,medicare_reimbursements_per_enrollee,percentage_excessive_drinking,average_Jan_temperature,average_summer_temperature,total_Jan_precipitation,total_annual_precipitation,rate_homeless,rate_sheltered,rate_unsheltered,percent_black,percent_latino_hispanic,percent_asian,percent_pacific_inslander,percent_population_0_19,percent_population_65_plus,percent_female_population
2014,AL-500,1329.0,915.0,414.0,948653,-10.5775351050957,,,12.1884155273438,24.9629383087158,31.7696208953857,,0,1486,1.23592507839203,0,1,6.13753223419189,47.6335334777832,15.8761949539185,4.84226894378662,92.735481262207,,311732,38101,14801,257,246399,129528,494568,2269,,,,,,8.51897268145465,,35.2507400512695,77.3474502563477,2.1232898235321,65.9090728759766,14.009337450047592,9.645254903531638,4.364082546515954,0.3286048744904617,0.04016326306879333,0.015602122166904021,0.00027091043827405807,0.2597356462268079,0.13653886089012526,0.5213370958611843
2015,AL-500,1153.0,916.0,237.0,951915,-8.09775242856439,1.86224758625031,19.4923305511475,12.1884155273438,24.9629383087158,31.7696208953857,8.24999332427979,0,1077,1.23592507839203,0,1,5.81964015960693,47.6335334777832,16.5412864685059,4.68344640731812,92.0119934082031,7.19157886505127,313703,38035,15124,262,245553,134065,496286,454,,29.4301300048828,32.0775985717773,9.14955806732178,65.9837112426758,8.61544224951808,,41.5939559936523,78.2260208129883,4.8896918296814,54.8288421630859,12.112426004422662,9.622707909844891,2.489718094577772,0.3295493820351607,0.03995629861909939,0.01588797319088364,0.0002752346585566989,0.2579568553915003,0.14083715457787724,0.5213553731162971
2016,AL-500,1228.0,1032.0,196.0,955722,-4.48008869732242,,,12.1884155273438,24.9629383087158,31.7696208953857,,0,1078,1.23592507839203,0,1,5.35298728942871,47.6335334777832,15.0618057250977,4.60897636413574,91.3611145019531,,316009,38426,15575,285,246007,138383,498588,978,,,,,,8.90128992684065,,41.309700012207,79.4228515625,3.0917329788208,58.8849792480469,12.848924687304468,10.798119118321019,2.0508055689834492,0.33064949849433206,0.040206252445794906,0.01629657996781491,0.0002982038710001444,0.257404349800465,0.14479419747583502,0.521687268892
2017,AL-500,1092.0,875.0,217.0,958302,-0.852476571257,1.86224758625031,19.4923305511475,12.1884155273438,24.9629383087158,31.7696208953857,8.24999332427979,0,591,1.23592507839203,0,1,5.35658359527588,47.6335334777832,13.066967010498,4.52810955047607,95.0837097167969,7.19157886505127,317339,39140,15938,298,245718,142843,499924,14,-0.0006589146796613,29.4301300048828,32.0775985717773,9.14955806732178,65.9837112426758,9.3181631810327,0.166727036237717,50.9953460693359,80.8743133544922,6.66987609863281,38.593376159668,11.395155180725908,9.13073331788935,2.2644218628365587,0.3311471748989358,0.04084307452139305,0.016631500299488053,0.0003109666889978316,0.25640977478915833,0.14905843878025926,0.5216768826528589
2010,AL-501,883.0,482.0,401.0,590220,0.0,,,12.5391321182251,27.2319202423096,32.109203338623,,0,2018,1.71273577213287,1,0,10.8245811462402,46.713249206543,16.7759475708008,5.0570650100708,85.0468444824219,,159156,15523,8526,191,163873,82567,306633,3748,,,,,,8.39085425110976,,45.5192947387695,81.0799407958984,8.30632972717285,78.1647033691406,14.960523194740944,8.16644640981329,6.794076784927654,0.2696553827386398,0.026300362576666327,0.014445461014536953,0.000323608146115008,0.27764731794923925,0.13989190471349666,0.5195232286266138
2011,AL-501,718.0,407.0,311.0,596430,-8.79037070116921,1.75433909893036,18.8578872680664,12.5391321182251,27.2319202423096,32.109203338623,15.7783222198486,0,1586,1.71273577213287,1,0,10.9077472686768,46.713249206543,18.0260887145996,5.31557464599609,83.6051483154297,4.63115835189819,159813,18115,8978,259,161707,84416,308312,2609,,26.5599784851074,34.0083503723145,14.0497150421143,76.6775207519531,8.36908799440001,,47.3050842285156,82.9801788330078,3.81149053573608,56.8999938964844,12.038294519055045,6.823935751052093,5.214358768002951,0.26794929832503395,0.030372382341599183,0.015052898076890834,0.0004342504568851332,0.27112485958117466,0.14153546937612124,0.5169290612477575
2012,AL-501,634.0,324.0,310.0,599766,-14.457121675177,,,12.5391321182251,27.2319202423096,32.109203338623,,0,1845,1.71273577213287,1,0,10.2213726043701,46.713249206543,17.4731483459473,5.33997631072998,84.7321319580078,,160460,18611,9225,255,160481,86386,310410,1455,,,,,,8.48182480007203,,55.9899520874023,83.3671646118164,2.91043138504028,45.4677276611328,10.570789274483715,5.402106821660448,5.168682452823268,0.2675376730258134,0.031030435203062527,0.015380998589449885,0.0004251658146677204,0.267572686681139,0.14403283947406156,0.5175518452196357
2013,AL-501,493.0,260.0,233.0,603785,-16.7190963605481,1.75433909893036,18.8578872680664,12.5391321182251,27.2319202423096,32.109203338623,15.7783222198486,0,1979,1.71273577213287,1,0,8.66649627685547,46.713249206543,18.4882030487061,5.25630331039429,84.0918960571289,4.63115835189819,162136,18673,9411,244,159287,90339,312812,2154,,26.5599784851074,34.0083503723145,14.0497150421143,76.6775207519531,8.43749288809758,,55.2321701049805,80.6911315917969,2.90058612823486,68.1772689819336,8.165158127479152,4.306168586500161,3.8589895409789907,0.2685326730541501,0.030926571544506738,0.01558667406444347,0.000404117359656169,0.2638141060145582,0.14962113997532234,0.5180850799539571
2014,AL-501,598.0,461.0,137.0,608665,-17.2545628870114,,,12.5391321182251,27.2319202423096,32.109203338623,,0,2376,1.71273577213287,1,0,7.93607664108276,46.713249206543,18.0812110900879,5.34943866729736,85.1592102050781,,163311,19318,9548,261,158883,93647,315365,3567,,,,,,8.2211671656987,,43.2551460266113,79.9974746704102,2.96400308609009,67.8563079833984,9.824780462158987,7.573952831196142,2.2508276309628448,0.26831015418990745,0.03173831253645273,0.015686789941922075,0.0004288073077965712,0.26103521641625527,0.15385639062538506,0.5181257341887574
2015,AL-501,578.0,364.0,214.0,613378,-14.171645654599,1.858393907547,18.8998394012451,12.5391321182251,27.2319202423096,32.109203338623,19.4248142242432,0,1714,1.71273577213287,1,0,7.23150014877319,46.713249206543,17.2343978881836,5.12877988815308,83.8680572509766,3.68171644210815,164052,19855,9843,255,158507,97112,318093,3083,,28.982967376709,33.6681289672852,11.6479225158691,74.54345703125,8.285453133174,,49.0496292114258,80.2495880126953,4.69377326965332,67.1088104248047,9.423226786744879,5.934350433174975,3.488876353569903,0.26745660913824754,0.032369925233705805,0.016047200910368483,0.0004157305935328623,0.25841650662397414,0.1583232525457385,0.5185921242692109
